iter	Logloss
0	0.6055678126
1	0.5515367279
2	0.5125906703
3	0.4880951665
4	0.47291819
5	0.4623356794
6	0.45469008
7	0.4497466329
8	0.4463721415
9	0.4441141726
10	0.4424031817
11	0.441054835
12	0.4396164284
13	0.4384604836
14	0.4376613007
15	0.4367758382
16	0.4359595006
17	0.4353621457
18	0.4349661954
19	0.4345307655
20	0.4340493342
21	0.4336260478
22	0.4333257116
23	0.4329431636
24	0.4323524157
25	0.4320686467
26	0.4317893384
27	0.431225572
28	0.4310160878
29	0.4306278394
30	0.4303931122
31	0.43013156
32	0.4299063072
33	0.4296557299
34	0.4295040932
35	0.429237545
36	0.4290424156
37	0.4289140383
38	0.4287813619
39	0.4286822879
40	0.4285227292
41	0.4284861031
42	0.4283672498
43	0.4280606689
44	0.4278775075
45	0.4277840424
46	0.4276001231
47	0.4273757744
48	0.427176548
49	0.4268096581
50	0.4265792974
51	0.426226738
52	0.4260793991
53	0.4258197072
54	0.4255834287
55	0.4254972026
56	0.4253011767
57	0.4250761248
58	0.4248903643
59	0.4246058477
60	0.4244336929
61	0.4241709976
62	0.4239146461
63	0.4237134844
64	0.423429788
65	0.423285703
66	0.4230486259
67	0.4228354734
68	0.4225124435
69	0.4222888095
70	0.4220347964
71	0.4216857325
72	0.4215062548
73	0.4213408775
74	0.4211798706
75	0.4209509087
76	0.4207988345
77	0.4207403259
78	0.4204886449
79	0.4202225215
80	0.4199406764
81	0.4196530304
82	0.4193983854
83	0.4191898206
84	0.4189316915
85	0.4187662163
86	0.4185544688
87	0.4183454297
88	0.4180738106
89	0.4179131966
90	0.4176911583
91	0.41751629
92	0.4173512777
93	0.417147742
94	0.4170217717
95	0.4168867149
96	0.4167071724
97	0.4165901972
98	0.4163980573
99	0.4163002803
100	0.416138883
101	0.4160213496
102	0.4157260221
103	0.4155587095
104	0.4154127897
105	0.4152202161
106	0.4150272547
107	0.4148599078
108	0.4146099294
109	0.4144338074
110	0.4142767029
111	0.4141885134
112	0.4140182304
113	0.4137706846
114	0.4136340968
115	0.4133992475
116	0.4132591337
117	0.4130545845
118	0.4129585978
119	0.4127238363
120	0.4125376676
121	0.4123646444
122	0.4121709112
123	0.4119600296
124	0.4117250989
125	0.4115637703
126	0.4113931605
127	0.4112548625
128	0.4110429916
129	0.4109880702
130	0.4109237035
131	0.4107408218
132	0.4105894559
133	0.4104845772
134	0.4103109411
135	0.4101520195
136	0.4100295588
137	0.409822492
138	0.4097486025
139	0.409681675
140	0.4096412659
141	0.409488252
142	0.4093465919
143	0.4092520701
144	0.4090912272
145	0.4088923937
146	0.4086657028
147	0.4084444364
148	0.408320975
149	0.4081362648
150	0.4079535675
151	0.4078318888
152	0.4076039747
153	0.4074508654
154	0.4072675349
155	0.4070433884
156	0.4069019903
157	0.4067956378
158	0.4067038752
159	0.4065766691
160	0.4063783633
161	0.4061138649
162	0.4059628143
163	0.4058337924
164	0.4057157059
165	0.4055810712
166	0.40538974
167	0.4052946765
168	0.4050215607
169	0.4048681819
170	0.4047462209
171	0.4045544624
172	0.4043465945
173	0.4041903687
174	0.4040345993
175	0.4038902855
176	0.4037096939
177	0.403565333
178	0.4033300145
179	0.4032255834
180	0.4031219749
181	0.4028515854
182	0.4027490514
183	0.4025515442
184	0.4024364471
185	0.4022886251
186	0.4021238276
187	0.4018752162
188	0.4016577543
189	0.4014941902
190	0.4013201752
191	0.4012048353
192	0.4009937808
193	0.4009280128
194	0.4009235814
195	0.4007755585
196	0.400602239
197	0.4004471436
198	0.4002749125
199	0.4001629626
